source_1_set_power_[W],set_pressure_[mTorr],qcm_1_mass_rate_[ng/cm2s],qcm_1_mass_rate_[ng/cm2s]_error,qcm_2_mass_rate_[ng/cm2s],qcm_2_mass_rate_[ng/cm2s]_error,qcm_3_mass_rate_[ng/cm2s],qcm_3_mass_rate_[ng/cm2s]_error,source_1_voltage_[V]_mean,source_1_voltage_[V]_std,n,n_error,A,A_error,synthetic
37,25,13.10206203,0.105303654,0.427383942,0.046369497,2.573859421,0.052772985,181.963,0.273,3.798618615,0.15039804,6057.72745,743.5333792,0
37,28,11.00790063,0.069427735,0.294972168,0.028192194,1.892795022,0.0397105,180.104,0.351,4.437510525,0.125171922,5038.662979,563.7814178,0
37,31,9.828493811,0.069628575,0.129435844,0.049084184,1.540984006,0.06314356,179.378,0.32,5.071290445,0.285076948,4062.706179,1242.798714,0
37,34,8.917841413,0.082624666,0.171451096,0.069516562,1.496193972,0.065881769,178.288,0.344,4.669785004,0.225070889,3853.044791,842.6302838,0
37,37,7.150148606,0.062158608,0.152112314,0.050468245,1.055581941,0.042756394,176.963,0.501,5.147932182,0.24134178,3250.711069,830.9072177,1
37,40,7.23746761,0.068239395,0.062637594,0.059470348,1.128461499,0.074565159,176.632,0.282,5.181217509,0.365751101,2835.134861,1187.439924,0
37,43,5.499091824,0.075240093,0.191246501,0.048191312,0.932491536,0.071524126,175.2165,0.599,4.694923236,0.130664025,2804.388491,320.2590957,1
40,1,3.487116562,0.058742031,0.453483452,0.057160923,1.414023641,0.036512483,886.36,0.733,0.160811489,0.138479663,3687.251658,232.3531955,0
40,4,37.52060495,0.226187377,2.900426912,0.056940864,14.0393487,0.101664849,235.078,0.723,0.842746149,0.361876376,26567.50374,5265.462569,0
40,7,35.09257199,0.217781963,2.563183354,0.060314372,11.27815196,0.092445316,211.22,0.356,1.430121419,0.224264524,21365.73452,2782.353992,0
40,10,31.89113216,0.200191487,1.610063419,0.049545299,9.058158496,0.071920053,200.166,0.192,2.115772641,0.281297358,16556.46833,3115.60337,0
40,13,26.47848056,0.157375885,1.183123974,0.050457705,6.267205188,0.0587582,194.096,0.111,2.891029176,0.168560802,12936.34814,1584.483153,0
40,16,22.71962808,0.133075191,0.894228007,0.04077471,4.750417258,0.0447504,189.459,0.218,3.451275888,0.117677461,10844.18859,990.7772009,0
40,19,19.01421857,0.121431178,1.118805058,0.049110989,3.676666446,0.046364094,186.337,0.104,3.483485547,0.182191901,10182.38888,1255.230289,0
40,22,16.35104325,0.107257016,0.414275228,0.041379685,2.832887782,0.061768988,184.52,0.147,4.430351751,0.152796042,7382.307007,1019.451363,0
40,25,13.98263985,0.101020889,0.520849197,0.056623051,2.616151148,0.063622616,182.603,0.169,3.926597835,0.048728224,6726.986938,262.4939202,0
40,28,12.09780578,0.093944814,0.341633193,0.051386049,2.375569523,0.06474904,181.471,0.122,3.865172252,0.208309028,5431.528985,954.812845,0
40,31,10.69731917,0.068954569,0.561834852,0.03774466,1.969072182,0.06897806,179.99,0.18,3.761834132,0.154522634,5631.158948,632.2160818,0
40,34,9.295241629,0.057938211,-0.183763435,0.046619082,1.149869399,0.046154323,179.687,0.194,6.92042753,1.047904682,1349.783175,5591.797405,0
40,37,8.134582941,0.051061915,0.076348567,0.051124379,1.208213852,0.048247797,178.681,0.176,5.382579269,0.325392256,3254.64766,1229.015084,0
40,40,7.962708442,0.069588414,0.178679349,0.122134224,1.360752856,0.035131582,177.801,0.272,4.536616045,0.181758997,3523.072978,614.9650953,0
40,43,6.166842033,0.081827223,0.252173982,0.04546118,1.290778618,0.073122171,176.99,0.258,3.425997685,0.100873513,2968.782851,229.6267871,0
43,1,4.174932127,0.040119457,0.022143937,0.06094322,1.974607378,0.062165429,886.032,0.852,0.519444374,1.176494307,2867.978323,1972.65948,0
43,4,40.43100844,0.31096322,3.700235467,0.081793303,14.81330718,0.125399276,234.838,0.41,0.8008942,0.243799317,29923.89929,3820.846166,0
43,7,38.08885625,0.236406761,2.793124557,0.044035809,12.26266762,0.089107947,211.251,0.258,1.421007317,0.223995021,23245.43383,3018.450294,0
43,10,32.85428336,0.199877832,1.432414026,0.066441936,9.548788361,0.067263629,199.949,0.116,2.098965456,0.379360752,16636.9006,4165.802912,0
43,13,28.27438891,0.179336368,1.334281056,0.010913071,7.172563629,0.084436889,193.98,0.091,2.589939375,0.206490467,14072.84581,2042.937664,0
43,16,25.41652171,0.201842464,1.240285657,0.068675993,5.441442474,0.074061405,190.019,0.135,3.230601216,0.032511619,12729.52284,296.4899642,0
43,19,21.50836943,0.127878853,1.218747669,0.075529629,4.594437984,0.070962218,187.312,0.061,3.135684688,0.05530504,11195.70285,422.1175113,0
43,22,17.87365399,0.10572967,0.632667438,0.025894484,3.101925511,0.047685109,184.953,0.149,4.258335283,0.009339192,8681.184385,67.18328351,0
43,25,16.3447817,0.10097814,0.752817274,0.070318942,2.941308321,0.065890388,184.048,0.157,3.94664596,0.099424199,8372.538347,623.9664242,0
43,28,13.84210116,0.08538345,0.412869907,0.040979925,2.168982647,0.031887839,182.248,0.173,4.768904632,0.006740611,6703.268642,40.35833184,0
43,31,11.294076,0.074854107,0.320767144,0.044955495,1.864643603,0.036805885,181.314,0.175,4.578684555,0.069598285,5303.498188,329.1238191,0
43,34,10.49443061,0.063958514,0.096601797,0.055908761,1.471308972,0.038477253,180.675,0.16,5.642773103,0.284244794,4257.658753,1518.222638,0
43,37,9.653286668,0.097844135,0.414889371,0.044286109,1.98369292,0.049691474,179.943,0.166,3.470088381,0.060444521,4713.318218,215.5797553,0
