Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.012,49.5628668345,6.7523713546,39.4578788494,11.4171487643,1.2199638034,1.4254057078925602,1.6837742889,208,208.0
0.0249535674,43.2085710425,38.5572954819,2.8508156304,99.4114456251,2.262879277,2.6439481472468005,1.0026877982,209,209.0
0.012,35.396351983,3.756775065,0.7970502737,42.0488496949,1.4936083177,1.7451319584006801,1.7721272605,210,210.0
0.0375,5.3281052962,39.3152265904,39.2189588529,0.0158942572,0.976106934,1.1404833416856002,0.3039027086,211,211.0
0.0375,11.5484949124,38.7819038897,2.4265199801,16.3580109086,3.313983171,3.8720579369964003,0.4402735262,212,212.0
0.0261300396,33.1001572421,3.0641969063,38.69551771,84.31348737,1.9832522349,2.31723191125716,0.9585248086,213,213.0
0.012,22.9068781325,39.5322318674,34.8903191903,1.5234751069,1.4369183163,1.6788953607649202,1.6318003649,214,214.0
0.012,44.639945605,34.0427576137,32.9793007873,2.5968589969,1.1351154847,1.3262689323234802,1.7236218637,215,215.0
0.0375,44.6790025982,33.1714586189,0.8948003017,3.0775709575,2.1886980955,2.5572748547822,0.6727829444,216,216.0
0.0375,21.1597979,32.5427829244,36.4167721581,2.1637826702,2.5912619206,3.0276304280290405,0.5931181612,217,217.0
0.012,20.731198364,8.7194845975,1.7962150003,99.0246372064,1.5350879424,1.79359675190016,1.6092954263,218,218.0
0.0268257046,36.496228921,39.0299155447,37.5268829272,56.9582057829,1.6831945257,1.9666444838278803,0.944674318,219,219.0
0.0375,20.1913673957,32.7090934097,39.9032986826,98.8059417283,2.2341722181,2.61040681962804,0.5913805235,220,220.0
0.012,11.7269207513,39.460179416,37.5878366055,18.5263946407,1.1726998996,1.37018256269264,1.3217180768,221,221.0
0.0375,10.8940756205,39.6711355672,5.6176341432,2.8647672742,1.7504994007,2.0452834997778804,0.4476323374,222,222.0
0.012,5.0594632857,12.5539148272,36.4217545463,99.1944310579,0.8287896342,0.96835780859928,0.7472449367,223,223.0
0.012,19.5849861181,3.5185628077,29.6054159165,18.1493744005,1.9932897356,2.32895972707504,1.5988898445,224,224.0
0.0375,40.5233004191,39.9149976733,39.0230861818,7.6432688961,1.8102054076,2.11504399823984,0.686633435,225,225.0
0.012,15.2200129781,4.1227038369,39.7554396669,77.2872110012,1.5809864688,1.84722459014592,1.4741578254,226,226.0
