Duty Cycle (ratio),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
0.0237130374,25.9156942321,39.2488850111,3.0283307013,1.6824879288,1.1444904234,0.8272811686696091,0.8104578337,75,75.0
0.0375,38.1832353611,22.8894601259,8.924863145,0.7490280511,1.2603243055,0.911010300339009,0.5268686158,76,76.0
0.0310809105,17.1589185919,30.2450409116,1.7055469202,91.7009752563,1.3199021028,0.9540753961837464,0.5467924032,77,77.0
0.012,15.9185454793,39.0905570878,35.2486443775,23.0815464784,0.8743655498,0.6320246452863324,1.3165287821,78,78.0
0.0222517363,35.7250605075,6.4801421299,31.6368421647,7.6756709939,1.0487565894,0.7580811155687172,0.8251788302,79,79.0
0.0320969881,28.0055517928,5.3004372615,1.873391339,13.0263071604,1.3235761044,0.9567311041522872,0.6087096636,80,80.0
0.0184180771,14.3007155765,29.9006329332,33.6508396193,93.2484507258,0.9931821929,0.7179098299514501,0.8424978482,81,81.0
0.012,20.5766880698,5.7756191423,20.6369468768,5.2609601473,0.8804718015,0.636438476052657,1.3892868773,82,82.0
0.0255915812,49.6964185701,31.9987022462,2.7318344259,96.3871610378,1.098161137,0.793792599946806,0.6312213502,83,83.0
0.012,47.4102829906,12.8754811733,39.4523318085,77.6331149047,0.8546878449,0.6178008524318263,1.4447158323,84,84.0
0.0375,36.1792718933,6.0647572892,28.7121006977,53.2283457812,1.4886610889,1.0760608041782982,0.5091109708,85,85.0
0.012,33.7712283262,30.6124748331,35.0259465177,49.9188499106,0.8714649399,0.6299279742274362,1.4845566591,86,86.0
0.012,40.9325912001,35.7925499386,39.159560703,51.2649182337,0.8624465324,0.6234091265869512,1.4620382243,87,87.0
0.0227722213,36.8408704589,38.2051457165,0.2877776844,78.2853932705,1.2441987492,0.8993541354742295,0.8251822043,88,88.0
0.0316744932,45.0983176456,39.7366660292,9.6777516846,94.7615259053,1.2262889509,0.8864082526906542,0.5576264898,89,89.0
0.0192374491,36.9467467766,35.5387473589,39.6629458191,61.8467510044,1.1409357434,0.8247117108877692,0.9420796706,90,90.0
0.0194699914,15.8660686401,2.8980851451,5.9695723196,3.2738754935,1.0211980221,0.7381607358987199,0.8398998268,91,91.0
0.0375,6.5068059981,13.6672564271,0.6024182137,86.4880328049,0.9963529569,0.7202017786596822,0.2982714129,92,92.0
0.012,6.7845381419,31.7289730352,38.4727109725,93.8475476842,0.9073525267,0.6558688856947745,0.8961857915,93,93.0
0.0375,22.3956628447,1.9904971602,0.2730431038,60.6926295681,1.5880005492,1.1478671409826295,0.5143053266,94,94.0
0.029207108,9.119245221,3.551584063,14.8403277123,89.0649013459,0.9647383648,0.6973495501353023,0.4662453049,95,95.0
0.0197820749,47.4929049905,8.5818567604,1.2897541662,99.1408906008,1.2523320852,0.9052332198017975,0.8494281546,96,96.0
0.0301853251,46.2479436366,11.2136268816,5.1456594434,10.8166619945,1.2536633098,0.9061954795292124,0.5879254925,97,97.0
0.0164534393,5.7315541948,27.0175167949,3.9991258779,2.2693982755,0.6703703475,0.484569161246205,0.5844670874,98,98.0
0.0328440237,5.9013549887,5.9944615538,1.8236938301,36.2215992272,1.2984862954,0.9385952367943452,0.3277100319,99,99.0
0.012,9.6419617098,1.6395053067,39.6923540221,23.7622393757,1.035238459,0.7483096972266421,1.0261206015,100,100.0
0.012,49.7095549132,5.3122563487,1.1650383835,10.7576563444,0.7760876251,0.5609856267520338,1.4187423665,101,101.0
0.012,5.8180562305,8.5067947345,4.639236998,99.038437176,0.7337711907,0.5303976999432065,0.7740855343,102,102.0
0.0375,48.8562188381,6.889379646,1.357579996,40.8351503974,1.7518550543,1.2663074037401034,0.4891922445,103,103.0
0.0375,14.8605925961,5.8515155715,37.2358833771,1.6885199626,1.2815566513,0.9263578467123894,0.4437353053,104,104.0
0.0375,49.3428027369,2.0694312333,31.8517280063,7.4736582845,1.3624742398,0.9848481545485525,0.4887586786,105,105.0
0.0375,46.060015249,39.5283478828,2.6708940148,99.3325458281,1.3437261933,0.9712963541125854,0.5004497749,106,106.0
0.0375,32.0029311714,37.2155105701,35.935525048,91.3008663478,1.525477544,1.102673136949872,0.5450581395,107,107.0
0.0375,47.8584645151,37.9470450666,36.0953560583,93.695344548,1.1697669652,0.8455520135912376,0.4965510557,108,108.0
0.012,39.4457860116,37.9680219965,36.5981406741,1.1735754338,0.8116186026,0.5866687674661788,1.6023516237,109,109.0
0.0375,32.2731040515,6.1767636697,4.3125938078,90.9002036827,1.3984097504,1.010823707159635,0.547659535,110,110.0
0.012,5.6986160853,38.3188264145,31.4459432166,93.2347056455,0.5975301459,0.43191749560206416,0.7368595992,111,111.0
0.0375,7.7298357735,3.2622137548,23.3618512075,4.0091854239,1.3695970906,0.9899968217751227,0.335502409,112,112.0
0.0375,47.3492452024,34.3217510037,38.354411117,19.6183865298,1.7084329946,1.2349202889506747,0.4813981803,113,113.0
0.0375,5.5284535047,39.3990031363,7.3111249926,96.751426199,0.9395641248,0.6791526528421824,0.2744624026,114,114.0
0.0375,23.8501595471,38.8815901883,29.0533708316,2.1756392139,1.6321638867,1.1797900795344545,0.5156026503,115,115.0
0.0375,21.343391637,38.5998366913,38.9286257031,90.2681881955,1.3783587378,0.9963300733138764,0.5121374971,116,116.0
0.012,27.0025979517,10.5333977766,0.3142648398,7.4897581349,0.8046135579,0.5816052549653202,1.5434541414,117,117.0
0.0375,5.6577762414,39.0738131996,36.0698385537,87.3661704819,0.9261408555,0.669449803707909,0.2826883456,118,118.0
0.012,8.7312747462,39.2251482812,32.874892348,6.2193781425,0.9595742549,0.6936167352634062,1.0104818624,119,119.0
0.0375,49.5524424687,1.8491425506,37.7806348142,89.6188276716,1.3647589987,0.9864996651023106,0.4588848067,120,120.0
0.0375,13.1823055561,7.2458301779,38.5584497501,95.9396660686,1.2888641902,0.9316400135157875,0.4225226294,121,121.0
0.012,5.983729894,2.9648853324,4.1602933519,86.6937560081,0.6656579796,0.48116288265810475,0.7671687241,122,122.0
0.012,48.6561149158,2.366266103,36.9539971555,62.9262390965,0.8496978959,0.6141939276765642,1.5105436211,123,123.0
0.012,12.9796912885,2.9373766771,0.577371044,98.3344936285,1.0185120473,0.7362192112462373,1.1796704138,124,124.0
0.012,30.7438150256,5.5375309749,0.0194714623,4.0208153556,0.8679263558,0.6273701511737604,1.5209357066,125,125.0
0.012,48.1772922004,3.064840177,9.9626166237,96.0053415006,0.7944438746,0.5742542214281148,1.4966897564,126,126.0
0.0375,34.7293135865,4.2882226402,0.8900772961,97.7972208281,1.5323021481,1.107606220128308,0.5273021817,127,127.0
0.012,49.6786331916,1.9209128817,0.8276797887,12.9166224913,0.7199350361,0.5203964016244518,1.4741645735,128,128.0
0.0375,6.0663592315,38.6236016336,22.7944940297,8.5813247708,1.001966464,0.7242594349048319,0.2939425019,129,129.0
0.0375,31.20021898,1.7242815078,3.709107852,9.7170690983,1.881737244,1.3601911859784719,0.5234169588,130,130.0
0.012,26.0937395807,37.4484521685,3.4138839787,91.359298111,0.9196022221,0.6647234310183198,1.4949487446,131,131.0
0.012,18.2698089979,6.1747604962,34.8882597478,95.6350192179,0.7658534346,0.5535879649593948,1.3840840864,132,132.0
0.012,33.2154262975,2.4758853336,39.2860974077,0.0990144036,0.8038380843,0.5810447131792434,1.5348030675,133,133.0
0.012,42.7095115309,39.4694467432,5.2038156771,12.1347431273,0.822559648,0.594577370841024,1.5001447874,134,134.0
0.0375,17.7807506047,36.0730171407,4.6732955223,0.4464842154,1.3825400064,0.9993524531461632,0.4770709564,135,135.0
0.012,5.9103698235,33.1616908085,4.2019866185,2.6341026943,0.6036144169,0.4363154378831621,0.7879461471,136,136.0
0.0375,5.7915622127,26.0847069464,38.6695366263,96.7292967018,1.2900390328,0.9324892343910863,0.2930770571,137,137.0
0.0375,5.8102501735,4.0822904355,9.761311138,88.4652294692,1.1886827824,0.8592250850644512,0.2943777548,138,138.0
0.0375,49.2613786299,23.2609880095,4.4750913958,0.0973349006,1.9197291061,1.3876531475951117,0.5004497749,139,139.0
