PRR (Hz),PW (us),pos Delay (us),pos PW (us),pos Setpoint (V),y1,dep_rate_A_per_s,Ipk (A),BatchNr,FitNr
210.9822640195,106.1459094286,37.0772948228,30.5168172345,77.360564936,1.6657320724,1.94624135339216,0.5576197417,139,139.0
293.9637575299,107.196451351,37.437666961,39.3391940743,93.8759841956,1.9243651047,2.2484281883314803,0.4303403119,140,140.0
309.115550667,278.1240031123,4.5111174118,39.8186967894,11.2035352737,2.2476202296,2.6261194762646403,0.1697014076,141,141.0
771.7388695106,280.8463729918,39.7369387466,36.2914790958,1.0836815462,2.3852749424,2.7869552427001603,0.0605980054,142,142.0
204.5632064342,200.6525082514,6.8359516351,17.046302557,90.6851352192,1.9978341408,2.3342694101107204,0.3195026461,143,143.0
675.5825486034,203.5069027916,39.188328519,25.8816012368,97.5083709694,2.42004971,2.827586081164,0.0960863028,144,144.0
205.3766416386,175.4525793716,22.4119034214,4.5829059929,4.712799564,1.8850065053,2.20244160079252,0.3593232285,145,145.0
438.6477522552,195.9353592247,1.8230997669,37.9347430542,26.2973593548,2.261937176,2.6428473964384,0.1584489383,146,146.0
320.2178519219,265.3050906956,39.5045382124,39.2854164913,37.3562472872,2.2917293233,2.67765654134372,0.1697014076,147,147.0
449.5615674183,251.2845376506,1.952926843,0.3149939328,7.010190282,2.3193277311,2.70990252101724,0.1229403966,148,148.0
760.7191529125,291.2215504795,2.0939723039,1.2676747143,44.7929625399,2.3718420536,2.7712602554262404,0.0571294782,149,149.0
607.5061788782,275.2473423257,17.7392808041,1.1755578592,0.8366631344,2.3610400108,2.7586391486187205,0.0796445388,150,150.0
782.0896169171,158.4759877995,37.4892121037,3.6502554268,16.5249734186,2.3988608517,2.80282901912628,0.109089906,151,151.0
279.2380981147,106.7298416048,37.8358698548,1.8201194331,16.9208916835,1.8656589312,2.1798358952140804,0.4433236708,152,152.0
786.1747436225,102.0735502243,5.650093555,36.0391625389,25.0313910656,2.2534233365,2.6328998263666,0.1939439838,153,153.0
314.9228405207,101.7120767385,39.8592568762,2.6906234026,66.6409146972,1.8070835696,2.11139644272064,0.4268684106,154,154.0
798.0978695676,239.7201808169,38.2534468132,34.3728429824,86.4714182913,2.4169491525,2.8239633897810004,0.0658007963,155,155.0
510.418292135,113.1456688046,3.4137981017,39.9136225134,67.4143746495,2.1095329803,2.4647783341825202,0.2493628167,156,156.0
226.2361364439,292.869518511,38.6695843358,6.1888119206,11.2788242288,2.1249867996,2.48283457665264,0.2285853937,157,157.0
566.8312681839,162.264678441,38.2432407127,3.333367072,4.1196933016,2.3216320042,2.7125948337072803,0.1489206105,158,158.0
788.4170072153,106.0965679586,38.7768695843,1.4456767216,64.2150526866,2.3115273015,2.7007884990726003,0.1852895359,159,159.0
787.3409625143,210.4837231338,8.2436061483,39.669799991,91.1551963538,2.2684442143,2.6504502199881204,0.078777407,160,160.0
384.6362132579,100.3813471645,39.50054164,26.166321598,93.6807732098,1.943877551,2.2712265305884003,0.3705858199,161,161.0
656.2319170684,107.8296359628,33.0758885932,3.5054289177,21.9118317589,2.1532035137,2.5158029854070803,0.2147247809,162,162.0
231.6699627787,298.9376928657,28.8299818551,37.5631010905,9.188547451,2.2210112787,2.59502957803308,0.2181899341,163,163.0
790.2388149872,265.4835350811,37.0440971898,38.5109979287,8.70168861,2.4904015402,2.9097851595696804,0.0597308736,164,164.0
208.2340665162,161.1174710095,39.6549636535,4.7892380133,6.835748069,1.8902202275,2.208533313811,0.3853068165,165,165.0
797.1463687718,263.693629019,2.8687482593,1.3472891226,26.750925649,2.3698194848,2.76889708604032,0.05799661,166,166.0
200.1663628966,238.6271512136,5.1797047718,2.3313961923,6.7973111756,2.0811537578,2.43162005061352,0.2831269726,167,167.0
218.0053880438,126.6296805814,7.8227146687,38.6218910292,1.9768139347,1.842433491,2.1526992908844003,0.4537090082,168,168.0
413.8858433813,103.8141392171,21.1934425579,0.4388137907,88.9422585256,2.0516242318,2.39711775243512,0.3376786737,169,169.0
765.4904199764,149.2348305881,10.7670732355,0.6844075769,1.947757788,2.3302752294,2.7226935780309605,0.1220665167,170,170.0
384.3934621662,111.4715307951,5.1904200623,0.9339057654,96.7382053845,2.0124009645,2.3512892869218,0.3298913576,171,171.0
381.919654645,154.3612783775,2.3301049015,36.2920646742,96.3923953474,2.1232055243,2.48075333459212,0.2337814365,172,172.0
648.6554544419,202.1918255836,5.1909355628,6.6769182682,99.9300207011,2.3993428708,2.8033922102427202,0.1012857196,173,173.0
481.2143573537,195.99816259,26.7315443433,0.651835762,67.0851728879,2.285155486,2.6699756698424,0.1471863469,174,174.0
631.683254987,114.567810297,39.3948142594,37.8503069654,86.7421887815,2.1991341991,2.56946839822844,0.2026051798,175,175.0
781.0209890828,294.7339296341,36.8952637874,37.9031984508,93.3095376939,2.2787673905,2.6625118190602004,0.0553952145,176,176.0
443.1445427239,295.0091516599,38.7618933558,38.1608219445,70.637967065,2.3236327478,2.7149325025295203,0.1090831578,177,177.0
